Accel_X,Accel_Y,Accel_Z
160,3975,-15549
160,3995,-15544
176,3982,-15521
127,3973,-15515
168,3980,-15522
156,3956,-15514
155,3967,-15510
159,3980,-15532
164,3950,-15519
158,3972,-15522
144,3971,-15527
144,3973,-15515
156,3992,-15535
151,3974,-15510
151,3981,-15513
166,3978,-15523
160,3973,-15523
174,3987,-15533
181,3977,-15535
156,3974,-15528
138,3961,-15525
157,3978,-15511
163,3975,-15505
151,3980,-15527
152,3988,-15526
127,3962,-15509
118,3989,-15515
171,3983,-15538
141,3966,-15522
152,3971,-15526
171,3976,-15514
145,3971,-15534
187,3981,-15534
169,3945,-15511
152,3991,-15543
171,3978,-15525
157,3977,-15513
141,3987,-15513
148,3964,-15507
136,3978,-15524
150,3969,-15530
143,3970,-15523
137,3970,-15535
163,3982,-15523
168,3971,-15527
162,3967,-15526
153,3970,-15534
162,3976,-15529
150,3980,-15526
135,3988,-15526
149,3963,-15505
144,3964,-15521
151,3987,-15526
148,3957,-15518
145,3979,-15542
165,3990,-15548
142,3967,-15520
161,3985,-15514
153,3955,-15506
134,3974,-15540
147,3983,-15528
144,3949,-15508
147,3977,-15545
179,3971,-15541
153,3959,-15531
180,3975,-15521
148,3969,-15498
144,3986,-15548
170,3983,-15513
145,3975,-15524
156,3998,-15546
163,3966,-15520
146,3957,-15540
152,3976,-15534
145,3956,-15515
166,3976,-15536
158,3971,-15512
153,3981,-15528
159,3994,-15524
142,3984,-15522
158,3999,-15544
156,3985,-15506
152,3983,-15524
165,3986,-15514
136,3959,-15517
151,3988,-15519
153,3965,-15521
160,3983,-15548
164,3991,-15556
158,3976,-15527
140,3989,-15506
154,3975,-15521
140,3968,-15519
159,3983,-15520
145,3978,-15517
171,4004,-15558
147,3974,-15532
129,3975,-15527
150,3977,-15513
137,3971,-15504
131,3987,-15533
168,4000,-15526
148,3981,-15525
159,3991,-15538
190,3993,-15516
143,3971,-15515
146,3978,-15522
141,3943,-15488
170,3974,-15519
176,3979,-15532
147,3965,-15539
156,3982,-15547
142,3979,-15531
149,3993,-15534
152,3985,-15504
162,3984,-15504
159,3985,-15517
163,3985,-15511
158,3976,-15538
147,3973,-15527
148,3969,-15543
165,3980,-15525
141,3978,-15516
158,3976,-15516
152,3965,-15520
135,3969,-15526
166,3963,-15532
132,3970,-15512
150,3978,-15552
175,3991,-15519
131,3978,-15516
165,3979,-15532
142,3963,-15494
143,3975,-15530
148,3992,-15549
142,3954,-15518
133,3974,-15530
155,3976,-15520
131,3958,-15518
159,3973,-15521
147,3968,-15488
166,3964,-15539
185,3992,-15554
178,3973,-15510
152,3986,-15513
148,3974,-15528
126,3941,-15525
130,3975,-15503
158,3985,-15520
155,3969,-15530
160,3990,-15540
175,3979,-15516
161,3965,-15518
163,3981,-15518
161,3970,-15509
160,3980,-15509
173,3985,-15542
163,3973,-15528
156,3990,-15546
154,3953,-15541
119,3955,-15519
129,3964,-15525
163,3981,-15507
144,3970,-15515
149,3991,-15521
166,3984,-15531
135,3975,-15533
160,3982,-15546
145,3968,-15512
151,3963,-15518
174,3983,-15511
162,3961,-15500
147,3991,-15526
155,3964,-15515
154,3966,-15511
153,3986,-15533
158,3972,-15514
146,3975,-15519
137,3978,-15513
141,3972,-15500
129,3974,-15536
162,3997,-15545
169,3970,-15507
151,3985,-15535
180,3982,-15527
153,3969,-15502
143,3990,-15514
151,3974,-15513
147,3962,-15523
157,3991,-15529
149,3988,-15540
152,3963,-15541
177,3980,-15520
166,3968,-15505
143,3968,-15509
150,3988,-15519
166,3991,-15516
152,3974,-15527
168,3974,-15538
148,3943,-15529
128,3966,-15528
169,3978,-15518
142,3961,-15512
150,4013,-15526
174,3981,-15508
137,3978,-15520
155,4005,-15539
159,3961,-15507
139,3975,-15538
167,3974,-15526
143,3969,-15508
161,3984,-15547
165,3985,-15513
151,3976,-15524
147,3999,-15529
133,3973,-15503
144,3981,-15529
161,3993,-15516
147,3975,-15509
142,3986,-15537
163,3962,-15513
142,3974,-15530
164,3983,-15520
176,3966,-15527
167,3985,-15521
160,3963,-15513
161,3969,-15532
162,3977,-15536
146,3977,-15520
157,3978,-15517
144,3984,-15521
159,3966,-15534
153,3965,-15528
144,3959,-15526
170,3980,-15548
158,3967,-15516
168,3978,-15532
177,3991,-15529
144,3977,-15513
145,3990,-15529
136,3965,-15509
161,3966,-15528
175,3977,-15546
152,3948,-15522
144,3977,-15538
162,3974,-15526
133,3973,-15517
166,3988,-15532
155,3977,-15522
144,4003,-15526
158,4000,-15532
136,3981,-15529
165,3977,-15526
154,3957,-15515
140,3973,-15540
177,3987,-15519
141,3964,-15513
157,3998,-15526
140,3976,-15517
121,3973,-15526
166,3999,-15531
141,3965,-15516
182,4003,-15537
163,3974,-15504
141,3973,-15523
176,3977,-15526
136,3968,-15518
150,3966,-15532
144,3967,-15533
132,3985,-15522
151,4005,-15515
130,3972,-15496
130,3985,-15530
163,3973,-15512
136,3976,-15517
164,3974,-15532
156,3964,-15528
160,3964,-15533
162,3958,-15531
136,3953,-15522
152,3987,-15539
156,3970,-15516
135,3983,-15523
161,3993,-15521
159,3973,-15516
156,3985,-15537
157,3965,-15525
147,3960,-15528
161,3984,-15528
157,3974,-15511
142,3996,-15515
165,3969,-15539
145,3977,-15521
144,3984,-15537
152,3975,-15529
157,3979,-15530
151,3985,-15524
158,3975,-15519
154,3960,-15507
161,3977,-15538
170,3972,-15535
159,3968,-15537
139,3981,-15541
145,3994,-15519
155,3969,-15514
151,3976,-15520
131,3975,-15503
144,3981,-15527
153,3972,-15522
154,3966,-15525
143,3972,-15534
157,3961,-15522
156,3961,-15531
148,3981,-15522
156,3970,-15511
150,3979,-15544
155,3979,-15538
155,3976,-15529
137,3988,-15525
152,3974,-15535
148,3979,-15523
144,3977,-15522
168,3977,-15523
146,3962,-15541
152,3991,-15520
155,3969,-15517
148,3975,-15525
156,3984,-15531
152,3980,-15517
136,3987,-15530
163,3992,-15531
172,3974,-15526
162,3988,-15513
173,3986,-15523
138,3973,-15531
159,3978,-15542
141,3965,-15522
137,3965,-15519
159,3982,-15537
141,3967,-15518
166,3996,-15532
152,3979,-15528
155,3976,-15528
151,3995,-15518
153,3992,-15534
178,3987,-15524
159,3976,-15528
173,3956,-15517
160,3958,-15516
148,3965,-15539
172,3974,-15524
143,3963,-15532
131,3976,-15538
168,3975,-15502
129,3975,-15526
165,4001,-15534
165,3970,-15521
127,3962,-15540
171,3993,-15518
145,3967,-15519
146,3973,-15542
158,3968,-15524
146,3959,-15532
169,3989,-15540
138,3954,-15517
144,3973,-15526
160,3985,-15538
151,3960,-15521
144,3979,-15531
169,3962,-15516
158,3960,-15520
163,3977,-15518
158,3978,-15513
166,3967,-15527
164,3982,-15536
160,3967,-15524
139,3984,-15516
144,3978,-15516
147,3981,-15523
132,3985,-15509
155,3996,-15517
172,3989,-15523
124,3978,-15532
155,3990,-15517
144,3977,-15522
150,3994,-15523
168,3975,-15532
124,3959,-15514
139,3988,-15540
176,3949,-15517
149,3965,-15522
160,3966,-15545
140,3955,-15526
157,3990,-15518
145,3977,-15506
137,3979,-15509
152,3978,-15525
146,3960,-15535
136,3969,-15536
176,3969,-15538
137,3973,-15538
168,3976,-15529
162,3972,-15522
154,3979,-15507
168,3994,-15507
153,3982,-15518
